Frame#,sedan#,SUV#,Frame#,Frame_time#,FPS
472,1,0,472,0.08813118934631348,6.450656129615618
473,1,0,473,0.09565997123718262,6.455344924741876
474,1,0,474,0.08778190612792969,6.460068657454306
475,1,0,475,0.09092187881469727,6.465238794507845
476,1,0,476,0.0914762020111084,6.470446919651694
477,1,0,477,0.10324716567993164,6.473277751174499
478,1,0,478,0.10508060455322266,6.477214852290886
479,2,0,479,0.16406726837158203,6.4759061315893645
480,2,0,480,0.16254305839538574,6.474518165472994
481,2,0,481,0.15520524978637695,6.473591049437513
482,2,0,482,0.16094732284545898,6.471469276033377
483,2,0,483,0.15427613258361816,6.470417665198049
484,2,0,484,0.17645001411437988,6.468108729222801
485,3,0,485,0.2244422435760498,6.460923875163756
486,3,0,486,0.2242140769958496,6.454062866982237
487,3,0,487,0.2195582389831543,6.447543454140016
488,3,0,488,0.2448594570159912,6.438438532749181
489,3,0,489,0.22428035736083984,6.432067183945013
490,3,0,490,0.21891403198242188,6.4258980421472724
491,3,0,491,0.2279376983642578,6.418472465378023
492,3,0,492,0.23876357078552246,6.4098650063320015
493,3,0,493,0.22538185119628906,6.403147306360793
494,3,0,494,0.22324705123901367,6.3967109917857226
495,3,0,495,0.2239830493927002,6.389929519202649
496,4,0,496,0.30641841888427734,6.376627807692772
497,4,0,497,0.3029770851135254,6.364115406515121
498,4,0,498,0.2884647846221924,6.352467450872567
499,4,0,499,0.27982640266418457,6.3416896868645765
500,2,0,500,0.15903043746948242,6.341184929228586
501,3,0,501,0.2357194423675537,6.333944345198359
502,3,0,502,0.2223665714263916,6.327429129900732
503,2,0,503,0.16027545928955078,6.326405421802555
504,2,0,504,0.15246200561523438,6.325883283048608
505,3,0,505,0.21944904327392578,6.320699190421454
506,2,0,506,0.16349220275878906,6.318791529225992
507,1,0,507,0.10105562210083008,6.322632113298162
508,2,0,508,0.15436267852783203,6.32222582505881
509,2,0,509,0.15294933319091797,6.32134816517492
510,1,0,510,0.09504580497741699,6.324873020140286
511,1,0,511,0.09016275405883789,6.328882914248301
512,1,0,512,0.09167861938476562,6.3337611577020265
513,1,0,513,0.09336686134338379,6.337332524582023
514,1,0,514,0.09165525436401367,6.3412926507422664
515,1,0,515,0.09074592590332031,6.345042999046084
516,1,0,516,0.08646178245544434,6.349036370582872
517,1,0,517,0.08650398254394531,6.35390244201386
518,1,0,518,0.08790898323059082,6.358776204089509
519,1,0,519,0.09059762954711914,6.363450701880374
520,1,0,520,0.08745098114013672,6.367442536746684
